Gene	"Gene synonym"	"Gene description"	Uniprot	"Biological process"	"Molecular function"	Evidence
ACP1	"HAAP, LMW-PTP, LMWPTP"	"Acid phosphatase 1"	P24666		"Hydrolase, Protein phosphatase"	"Evidence at protein level"
ACP2	LAP	"Acid phosphatase 2, lysosomal"	P11117		Hydrolase	"Evidence at protein level"
ACP3	"ACP-3, ACPP, PAP, TM-PAP"	"Acid phosphatase 3"	P15309	"Lipid metabolism"	Hydrolase	"Evidence at protein level"
ACP4	ACPT	"Acid phosphatase 4"	Q9BZG2		Hydrolase	"Evidence at protein level"
ACP5	"HPAP, TRAcP, TRAP"	"Acid phosphatase 5, tartrate resistant"	P13686		Hydrolase	"Evidence at protein level"
ACP6	"ACPL1, LPAP"	"Acid phosphatase 6, lysophosphatidic"	Q9NPH0	"Lipid metabolism, Phospholipid metabolism"	Hydrolase	"Evidence at protein level"
ACP7	"FLJ16165, PAPL, PAPL1"	"Acid phosphatase 7, tartrate resistant (putative)"	Q6ZNF0		Hydrolase	"Evidence at protein level"
ACR		Acrosin	P10323		"Hydrolase, Protease, Serine protease"	"Evidence at protein level"
ACRBP	"CT23, OY-TES-1, SP32"	"Acrosin binding protein"	Q8NEB7			"Evidence at protein level"
ACRV1	"D11S4365, SP-10, SPACA2"	"Acrosomal vesicle protein 1"	P26436			"Evidence at protein level"
ACSBG1	"BG1, BGM, FLJ30320, hBG1, hsBG, KIAA0631, MGC14352"	"Acyl-CoA synthetase bubblegum family member 1"	Q96GR2	"Fatty acid metabolism, Lipid metabolism"	Ligase	"Evidence at protein level"
ACSBG2	"BGR, DKFZp434K1635, PRTD-NY3"	"Acyl-CoA synthetase bubblegum family member 2"	Q5FVE4	"Differentiation, Fatty acid metabolism, Lipid metabolism, Spermatogenesis"	"Developmental protein, Ligase"	"Evidence at protein level"
ACSF2	"ACSMW, FLJ20920"	"Acyl-CoA synthetase family member 2"	Q96CM8	"Fatty acid metabolism, Lipid metabolism"	Ligase	"Evidence at protein level"
ACSF3		"Acyl-CoA synthetase family member 3"	Q4G176	"Fatty acid metabolism, Lipid metabolism"	Ligase	"Evidence at protein level"
ACSL1	"ACS1, FACL1, FACL2, LACS, LACS1, LACS2"	"Acyl-CoA synthetase long chain family member 1"	P33121	"Fatty acid metabolism, Lipid metabolism"	Ligase	"Evidence at protein level"
ACSL3	"ACS3, FACL3, PRO2194"	"Acyl-CoA synthetase long chain family member 3"	O95573	"Fatty acid metabolism, Lipid metabolism"	Ligase	"Evidence at protein level"
ACSL4	"ACS4, FACL4, LACS4, MRX63, MRX68"	"Acyl-CoA synthetase long chain family member 4"	O60488	"Fatty acid metabolism, Lipid metabolism"	Ligase	"Evidence at protein level"
ACSL5	"ACS2, ACS5, FACL5"	"Acyl-CoA synthetase long chain family member 5"	Q9ULC5	"Fatty acid metabolism, Lipid metabolism"	Ligase	"Evidence at protein level"
ACSL6	"ACS2, FACL6, KIAA0837, LACS2, LACS5"	"Acyl-CoA synthetase long chain family member 6"	Q9UKU0	"Fatty acid metabolism, Lipid metabolism"	Ligase	"Evidence at protein level"
ACSM1	"BUCS1, MACS1"	"Acyl-CoA synthetase medium chain family member 1"	Q08AH1	"Fatty acid metabolism, Lipid metabolism"	Ligase	"Evidence at protein level"
ACSM2A	"A-923A4.1, ACSM2, MGC150530"	"Acyl-CoA synthetase medium chain family member 2A"	Q08AH3	"Fatty acid metabolism, Lipid metabolism"	Ligase	"Evidence at protein level"
ACSM2B	"ACSM2, HXMA, HYST1046"	"Acyl-CoA synthetase medium chain family member 2B"	Q68CK6	"Fatty acid metabolism, Lipid metabolism"	Ligase	"Evidence at protein level"
ACSM3	"SA, SAH"	"Acyl-CoA synthetase medium chain family member 3"	Q53FZ2	"Fatty acid metabolism, Lipid metabolism"	Ligase	"Evidence at protein level"
ACSM4		"Acyl-CoA synthetase medium chain family member 4"	P0C7M7	"Fatty acid metabolism, Lipid metabolism"	Ligase	"Evidence at protein level"
ACSM5	FLJ20581	"Acyl-CoA synthetase medium chain family member 5"	Q6NUN0	"Fatty acid metabolism, Lipid metabolism"	Ligase	"Evidence at protein level"
ACSM6	"bA310E22.3, C10orf129"	"Acyl-CoA synthetase medium chain family member 6"	Q6P461	"Fatty acid metabolism, Lipid metabolism"	Ligase	"Evidence at protein level"
ACSS1	"ACAS2L, AceCS2L, dJ568C11.3, MGC33843"	"Acyl-CoA synthetase short chain family member 1"	Q9NUB1	"Lipid metabolism"	Ligase	"Evidence at protein level"
ACSS2	"ACAS2, AceCS, ACS, ACSA, dJ1161H23.1"	"Acyl-CoA synthetase short chain family member 2"	Q9NR19	"Lipid metabolism, Transcription, Transcription regulation"	"Activator, Ligase"	"Evidence at protein level"
ACSS3	FLJ21963	"Acyl-CoA synthetase short chain family member 3"	Q9H6R3	"Lipid metabolism"	Ligase	"Evidence at protein level"
ACTA1	"ACTA, NEM3"	"Actin alpha 1, skeletal muscle"	P68133		"Hydrolase, Muscle protein"	"Evidence at protein level"
ACTA2	ACTSA	"Actin alpha 2, smooth muscle"	P62736		"Hydrolase, Muscle protein"	"Evidence at protein level"
ACTB		"Actin beta"	P60709		Hydrolase	"Evidence at protein level"
ACTBL2	DKFZp686D0972	"Actin beta like 2"	Q562R1			"Evidence at protein level"
ACTC1	"ACTC, CMD1R"	"Actin alpha cardiac muscle 1"	P68032		"Hydrolase, Muscle protein"	"Evidence at protein level"
ACTG1	"ACTG, DFNA20, DFNA26"	"Actin gamma 1"	P63261		Hydrolase	"Evidence at protein level"
ACTG2	"ACTA3, ACTL3, ACTSG"	"Actin gamma 2, smooth muscle"	P63267		"Hydrolase, Muscle protein"	"Evidence at protein level"
ACTL10	C20orf134	"Actin like 10"	Q5JWF8			"Evidence at protein level"
ACTL6A	"Actl6, Arp4, BAF53A, INO80K, SMARCN1"	"Actin like 6A"	O96019	"DNA damage, DNA recombination, DNA repair, Growth regulation, Neurogenesis, Transcription, Transcription regulation"	"Activator, Chromatin regulator"	"Evidence at protein level"
ACTL6B	"ACTL6, BAF53B, SMARCN2"	"Actin like 6B"	O94805	"Neurogenesis, Transcription, Transcription regulation"	"Chromatin regulator"	"Evidence at protein level"
ACTL7A		"Actin like 7A"	Q9Y615	Fertilization		"Evidence at protein level"
ACTL7B	Tact1	"Actin like 7B"	Q9Y614			"Evidence at protein level"
ACTL8	CT57	"Actin like 8"	Q9H568			"Evidence at protein level"
ACTL9	MGC33407	"Actin like 9"	Q8TC94	Fertilization		"Evidence at protein level"
ACTN1		"Actinin alpha 1"	P12814		Actin-binding	"Evidence at protein level"
ACTN2		"Actinin alpha 2"	P35609		Actin-binding	"Evidence at protein level"
ACTN3		"Actinin alpha 3"	Q08043		Actin-binding	"Evidence at protein level"
ACTN4	FSGS1	"Actinin alpha 4"	O43707	"Protein transport, Transport"	Actin-binding	"Evidence at protein level"
ACTR10	"ACTR11, Arp10, Arp11, HARP11"	"Actin related protein 10"	Q9NZ32			"Evidence at protein level"
ACTR1A	"ARP1, Arp1A"	"Actin related protein 1A"	P61163			"Evidence at protein level"
ACTR1B	"Arp1B, CTRN2"	"Actin related protein 1B"	P42025			"Evidence at protein level"
ACTR2	ARP2	"Actin related protein 2"	P61160		Actin-binding	"Evidence at protein level"
ACTR3	ARP3	"Actin related protein 3"	P61158	"Cilium biogenesis/degradation"	Actin-binding	"Evidence at protein level"
ACTR3B	"ARP11, ARP3beta"	"Actin related protein 3B"	Q9P1U1		Actin-binding	"Evidence at protein level"
ACTR3C	ARP11	"Actin related protein 3C"	Q9C0K3		Actin-binding	"Evidence at protein level"
ACTR5	"Arp5, FLJ12785, INO80M"	"Actin related protein 5"	Q9H9F9	"DNA damage, DNA recombination, DNA repair, Transcription, Transcription regulation"		"Evidence at protein level"
ACTR6	"ARP6, FLJ13433"	"Actin related protein 6"	Q9GZN1	"Transcription, Transcription regulation"	"Activator, Repressor"	"Evidence at protein level"
ACTR8	"ARP8, INO80N"	"Actin related protein 8"	Q9H981	"Cell cycle, Cell division, DNA damage, DNA recombination, DNA repair, Mitosis, Transcription, Transcription regulation"		"Evidence at protein level"
ACTRT1	"AIP1, ARIP1, Arp-T1, KIAA0705"	"Actin related protein T1"	Q8TDG2	"Transcription, Transcription regulation"		"Evidence at protein level"
ACTRT2	"ACTRT2, Arp-T2, ARPM2, FLJ25424"	"Actin related protein T2"	Q8TDY3			"Evidence at protein level"
ACTRT3	ARPM1	"Actin related protein T3"	Q9BYD9			"Evidence at protein level"
ACVR1	"ACVR1A, ACVRLK2, ALK2, SKR1"	"Activin A receptor type 1"	Q04771		"Kinase, Receptor, Serine/threonine-protein kinase, Transferase"	"Evidence at protein level"
ACVR1B	"ActRIB, ACVRLK4, ALK4, SKR2"	"Activin A receptor type 1B"	P36896		"Kinase, Receptor, Serine/threonine-protein kinase, Transferase"	"Evidence at protein level"
ACVR1C	"ACVRLK7, ALK7"	"Activin A receptor type 1C"	Q8NER5	Apoptosis	"Kinase, Receptor, Serine/threonine-protein kinase, Transferase"	"Evidence at protein level"
ACVR2A	"ACTRII, ACVR2"	"Activin A receptor type 2A"	P27037		"Kinase, Receptor, Serine/threonine-protein kinase, Transferase"	"Evidence at protein level"
ACVR2B	ActR-IIB	"Activin A receptor type 2B"	Q13705		"Kinase, Receptor, Serine/threonine-protein kinase, Transferase"	"Evidence at protein level"
ACVRL1	"ACVRLK1, ALK1, HHT, HHT2, ORW2"	"Activin A receptor like type 1"	P37023	Angiogenesis	"Kinase, Receptor, Serine/threonine-protein kinase, Transferase"	"Evidence at protein level"
ACY1		"Aminoacylase 1"	Q03154		Hydrolase	"Evidence at protein level"
ACY3	"ACY-3, HCBP1, MGC9740"	"Aminoacylase 3"	Q96HD9	"Host-virus interaction"	Hydrolase	"Evidence at protein level"
ACYP1		"Acylphosphatase 1"	P07311		Hydrolase	"Evidence at protein level"
ACYP2		"Acylphosphatase 2"	P14621		Hydrolase	"Evidence at protein level"
ADA	ADA1	"Adenosine deaminase"	P00813	"Cell adhesion, Nucleotide metabolism"	Hydrolase	"Evidence at protein level"
ADA2	"ADGF, CECR1, IDGFL"	"Adenosine deaminase 2"	Q9NZK5		"Heparin-binding, Hydrolase"	"Evidence at protein level"
ADAD1	Tenr	"Adenosine deaminase domain containing 1"	Q96M93	"Differentiation, Spermatogenesis"	"Developmental protein, RNA-binding"	"Evidence at protein level"
ADAD2	"FLJ00337, TENRL"	"Adenosine deaminase domain containing 2"	Q8NCV1	"Differentiation, Spermatogenesis"	RNA-binding	"Evidence at protein level"
ADAL		"Adenosine deaminase like"	Q6DHV7	"Nucleotide metabolism"	Hydrolase	"Evidence at protein level"
ADAM10	"CD156C, HsT18717, kuz, MADM"	"ADAM metallopeptidase domain 10"	O14672	"Notch signaling pathway"	"Hydrolase, Metalloprotease, Protease"	"Evidence at protein level"
ADAM11	MDC	"ADAM metallopeptidase domain 11"	O75078			"Evidence at protein level"
ADAM12	"MCMPMltna, MLTN"	"ADAM metallopeptidase domain 12"	O43184	"Cell adhesion"	"Hydrolase, Metalloprotease, Protease"	"Evidence at protein level"
ADAM15	MDC15	"ADAM metallopeptidase domain 15"	Q13444	"Angiogenesis, Cell adhesion, Collagen degradation"	"Hydrolase, Metalloprotease, Protease"	"Evidence at protein level"
ADAM17	"CD156B, cSVP, TACE"	"ADAM metallopeptidase domain 17"	P78536	"Notch signaling pathway"	"Hydrolase, Metalloprotease, Protease"	"Evidence at protein level"
ADAM18	"ADAM27, tMDCIII"	"ADAM metallopeptidase domain 18"	Q9Y3Q7	"Differentiation, Spermatogenesis"	"Developmental protein"	"Evidence at protein level"
ADAM19	MLTNB	"ADAM metallopeptidase domain 19"	Q9H013		"Hydrolase, Metalloprotease, Protease"	"Evidence at protein level"
ADAM2	"CT15, FTNB, PH-30b, PH30"	"ADAM metallopeptidase domain 2"	Q99965	"Cell adhesion"		"Evidence at protein level"
ADAM20		"ADAM metallopeptidase domain 20"	O43506		"Hydrolase, Metalloprotease, Protease"	"Evidence at protein level"
ADAM21	ADAM31	"ADAM metallopeptidase domain 21"	Q9UKJ8		"Hydrolase, Metalloprotease, Protease"	"Evidence at protein level"
ADAM22	MDC2	"ADAM metallopeptidase domain 22"	Q9P0K1	"Cell adhesion"	Receptor	"Evidence at protein level"
ADAM23	MDC3	"ADAM metallopeptidase domain 23"	O75077	"Cell adhesion"		"Evidence at protein level"
ADAM28	"ADAM23, eMDCII, MDC-Lm, MDC-Ls"	"ADAM metallopeptidase domain 28"	Q9UKQ2		"Hydrolase, Metalloprotease, Protease"	"Evidence at protein level"
ADAM29	"CT73, svph1"	"ADAM metallopeptidase domain 29"	Q9UKF5			"Evidence at protein level"
ADAM30	svph4	"ADAM metallopeptidase domain 30"	Q9UKF2		"Hydrolase, Metalloprotease, Protease"	"Evidence at protein level"
ADAM32		"ADAM metallopeptidase domain 32"	Q8TC27			"Evidence at protein level"
ADAM33	"C20orf153, dJ964F7.1, DKFZp434K0521"	"ADAM metallopeptidase domain 33"	Q9BZ11		"Hydrolase, Metalloprotease, Protease"	"Evidence at protein level"
ADAM7	"EAPI, GP-83"	"ADAM metallopeptidase domain 7"	Q9H2U9			"Evidence at protein level"
ADAM8	"CD156, CD156A, MS2"	"ADAM metallopeptidase domain 8"	P78325		"Hydrolase, Metalloprotease, Protease"	"Evidence at protein level"
ADAM9	"CORD9, KIAA0021, MCMP, MDC9, Mltng"	"ADAM metallopeptidase domain 9"	Q13443		"Hydrolase, Metalloprotease, Protease"	"Evidence at protein level"
ADAMDEC1	M12.219	"ADAM like decysin 1"	O15204		"Hydrolase, Metalloprotease, Protease"	"Evidence at protein level"
ADAMTS1	"C3-C5, KIAA1346, METH1"	"ADAM metallopeptidase with thrombospondin type 1 motif 1"	Q9UHI8		"Heparin-binding, Hydrolase, Metalloprotease, Protease"	"Evidence at protein level"
ADAMTS10	ADAM-TS10	"ADAM metallopeptidase with thrombospondin type 1 motif 10"	Q9H324		"Hydrolase, Metalloprotease, Protease"	"Evidence at protein level"
ADAMTS12		"ADAM metallopeptidase with thrombospondin type 1 motif 12"	P58397		"Hydrolase, Metalloprotease, Protease"	"Evidence at protein level"
ADAMTS13	"C9orf8, DKFZp434C2322, FLJ42993, MGC118899, MGC118900, TTP, vWF-CP, VWFCP"	"ADAM metallopeptidase with thrombospondin type 1 motif 13"	Q76LX8	"Blood coagulation, Hemostasis"	"Hydrolase, Metalloprotease, Protease"	"Evidence at protein level"
ADAMTS14		"ADAM metallopeptidase with thrombospondin type 1 motif 14"	Q8WXS8	"Collagen degradation"	"Hydrolase, Metalloprotease, Protease"	"Evidence at protein level"
ADAMTS15		"ADAM metallopeptidase with thrombospondin type 1 motif 15"	Q8TE58		"Hydrolase, Metalloprotease, Protease"	"Evidence at protein level"
ADAMTS16	ADAMTS16s	"ADAM metallopeptidase with thrombospondin type 1 motif 16"	Q8TE57		"Hydrolase, Metalloprotease, Protease"	"Evidence at protein level"
ADAMTS17	"FLJ16363, FLJ32769"	"ADAM metallopeptidase with thrombospondin type 1 motif 17"	Q8TE56		"Hydrolase, Metalloprotease, Protease"	"Evidence at protein level"
ADAMTS18	ADAMTS21	"ADAM metallopeptidase with thrombospondin type 1 motif 18"	Q8TE60		"Hydrolase, Metalloprotease, Protease"	"Evidence at protein level"
ADAMTS19		"ADAM metallopeptidase with thrombospondin type 1 motif 19"				"Evidence at transcript level"
ADAMTS2	"ADAM-TS2, ADAMTS-3, hPCPNI, NPI, PCINP"	"ADAM metallopeptidase with thrombospondin type 1 motif 2"	O95450	"Collagen degradation"	"Hydrolase, Metalloprotease, Protease"	"Evidence at protein level"
ADAMTS20	GON-1	"ADAM metallopeptidase with thrombospondin type 1 motif 20"	P59510		"Hydrolase, Metalloprotease, Protease"	"Evidence at protein level"
ADAMTS3	"ADAMTS-4, KIAA0366"	"ADAM metallopeptidase with thrombospondin type 1 motif 3"	O15072		"Heparin-binding, Hydrolase, Metalloprotease, Protease"	"Evidence at protein level"
ADAMTS4	"ADAMTS-2, ADMP-1, KIAA0688"	"ADAM metallopeptidase with thrombospondin type 1 motif 4"	O75173		"Hydrolase, Metalloprotease, Protease"	"Evidence at protein level"
ADAMTS5	"ADAMTS11, ADMP-2"	"ADAM metallopeptidase with thrombospondin type 1 motif 5"	Q9UNA0		"Hydrolase, Metalloprotease, Protease"	"Evidence at protein level"
ADAMTS6	ADAM-TS6	"ADAM metallopeptidase with thrombospondin type 1 motif 6"	Q9UKP5		"Hydrolase, Metalloprotease, Protease"	"Evidence at protein level"
ADAMTS7	"ADAM-TS7, DKFZp434H204"	"ADAM metallopeptidase with thrombospondin type 1 motif 7"	Q9UKP4		"Hydrolase, Metalloprotease, Protease"	"Evidence at protein level"
ADAMTS8	"ADAM-TS8, FLJ41712, METH2"	"ADAM metallopeptidase with thrombospondin type 1 motif 8"	Q9UP79		"Heparin-binding, Hydrolase, Metalloprotease, Protease"	"Evidence at protein level"
ADAMTS9	KIAA1312	"ADAM metallopeptidase with thrombospondin type 1 motif 9"	Q9P2N4	"ER-Golgi transport, Protein transport, Transport"	"Hydrolase, Metalloprotease, Protease"	"Evidence at protein level"
ADAMTSL1	"ADAMTSR1, C9orf94, FLJ35283"	"ADAMTS like 1"	Q8N6G6		Hydrolase	"Evidence at protein level"
ADAMTSL2	KIAA0605	"ADAMTS like 2"	Q86TH1			"Evidence at protein level"
ADAMTSL3	"KIAA1233, punctin-2"	"ADAMTS like 3"	P82987			"Evidence at protein level"
ADAMTSL4	"DKFZP434K1772, TSRC1"	"ADAMTS like 4"	Q6UY14	Apoptosis		"Evidence at protein level"
ADAMTSL5	THSD6	"ADAMTS like 5"				"Evidence at protein level"
ADAP1	"CENTA1, GCS1L"	"ArfGAP with dual PH domains 1"	O75689		"GTPase activation"	"Evidence at protein level"
ADAP2	CENTA2	"ArfGAP with dual PH domains 2"	Q9NPF8		"GTPase activation"	"Evidence at protein level"
ADAR	"ADAR1, DRADA, G1P1, IFI4"	"Adenosine deaminase RNA specific"	P55265	"Antiviral defense, Immunity, Innate immunity, mRNA processing, RNA-mediated gene silencing"	"DNA-binding, Hydrolase, RNA-binding"	"Evidence at protein level"
ADARB1	"ADAR2, ADAR2a, ADAR2a-L1, ADAR2a-L2, ADAR2a-L3, ADAR2b, ADAR2c, ADAR2d, ADAR2g, DRABA2, DRADA2, hRED1, RED1"	"Adenosine deaminase RNA specific B1"	P78563	"Antiviral defense, Immunity, Innate immunity, mRNA processing"	"Hydrolase, RNA-binding"	"Evidence at protein level"
ADARB2	"ADAR3, hRED2, RED2"	"Adenosine deaminase RNA specific B2 (inactive)"	Q9NS39	"mRNA processing"	"Hydrolase, RNA-binding"	"Evidence at protein level"
ADAT1		"Adenosine deaminase tRNA specific 1"	Q9BUB4	"tRNA processing"	Hydrolase	"Evidence at protein level"
ADAT2	"DEADC1, dJ20N2.1, TAD2"	"Adenosine deaminase tRNA specific 2"	Q7Z6V5	"tRNA processing"	Hydrolase	"Evidence at protein level"
ADAT3	TAD3	"Adenosine deaminase tRNA specific 3"				"Evidence at transcript level"
ADCK1	FLJ39600	"AarF domain containing kinase 1"	Q86TW2		"Kinase, Serine/threonine-protein kinase, Transferase"	"Evidence at protein level"
ADCK2	MGC20727	"AarF domain containing kinase 2"	Q7Z695		"Kinase, Serine/threonine-protein kinase, Transferase"	"Evidence at protein level"
ADCK5	FLJ35454	"AarF domain containing kinase 5"	Q3MIX3		"Kinase, Serine/threonine-protein kinase, Transferase"	"Evidence at protein level"
ADCY1	"AC1, DFNB44"	"Adenylate cyclase 1"	Q08828	"Biological rhythms, cAMP biosynthesis"	"Calmodulin-binding, Lyase"	"Evidence at protein level"
ADCY10	"HCA2, RP1-313L4.2, SAC, SACI, Sacy"	"Adenylate cyclase 10"	Q96PN6	"cAMP biosynthesis"	Lyase	"Evidence at protein level"
ADCY2	"AC2, HBAC2, KIAA1060"	"Adenylate cyclase 2"	Q08462	"cAMP biosynthesis"	Lyase	"Evidence at protein level"
ADCY3	AC3	"Adenylate cyclase 3"	O60266	"cAMP biosynthesis, Olfaction, Sensory transduction"	"Calmodulin-binding, Lyase"	"Evidence at protein level"
ADCY4	AC4	"Adenylate cyclase 4"	Q8NFM4	"cAMP biosynthesis"	Lyase	"Evidence at protein level"
ADCY5	AC5	"Adenylate cyclase 5"	O95622	"cAMP biosynthesis"	Lyase	"Evidence at protein level"
ADCY6	AC6	"Adenylate cyclase 6"	O43306	"cAMP biosynthesis"	Lyase	"Evidence at protein level"
ADCY7	"AC7, KIAA0037"	"Adenylate cyclase 7"	P51828	"cAMP biosynthesis"	Lyase	"Evidence at protein level"
ADCY8	"AC8, ADCY3, HBAC1"	"Adenylate cyclase 8"	P40145	"cAMP biosynthesis"	Lyase	"Evidence at protein level"
ADCY9	AC9	"Adenylate cyclase 9"	O60503	"cAMP biosynthesis"	Lyase	"Evidence at protein level"
ADCYAP1	PACAP	"Adenylate cyclase activating polypeptide 1"	P18509	Neurogenesis	Hormone	"Evidence at protein level"
ADCYAP1R1	"PAC1, PAC1R, PACAPR"	"ADCYAP receptor type I"	P41586	"Differentiation, Spermatogenesis"	"Developmental protein, G-protein coupled receptor, Receptor, Transducer"	"Evidence at protein level"
ADD1		"Adducin 1"	P35611		"Actin-binding, Calmodulin-binding"	"Evidence at protein level"
ADD2	ADDB	"Adducin 2"	P35612		"Actin-binding, Calmodulin-binding"	"Evidence at protein level"
ADD3	ADDL	"Adducin 3"	Q9UEY8		"Actin-binding, Calmodulin-binding"	"Evidence at protein level"
ADGB	"C6orf103, CAPN16, dJ408K24.1, FLJ23121"	Androglobin	Q8N7X0	"Differentiation, Spermatogenesis"		"Evidence at protein level"
ADGRA1	"GPR123, KIAA1828"	"Adhesion G protein-coupled receptor A1"	Q86SQ6		"G-protein coupled receptor, Receptor, Transducer"	"Evidence at protein level"
ADGRA2	"DKFZp434C211, DKFZp434J0911, FLJ14390, GPR124, KIAA1531, TEM5"	"Adhesion G protein-coupled receptor A2"	Q96PE1	"Angiogenesis, Wnt signaling pathway"	"G-protein coupled receptor, Receptor, Transducer"	"Evidence at protein level"
ADGRA3	"FLJ38547, GPR125, PGR21"	"Adhesion G protein-coupled receptor A3"	Q8IWK6		"G-protein coupled receptor, Receptor, Transducer"	"Evidence at protein level"
ADGRB1	BAI1	"Adhesion G protein-coupled receptor B1"	O14514	"Immunity, Innate immunity, Myogenesis, Neurogenesis, Phagocytosis"	"G-protein coupled receptor, Receptor, Transducer"	"Evidence at protein level"
